txn_id,timestamp,amount,category,status,notes
TXN-10001,2026-04-01T10:00:00Z,$500.00,OFFICE_SUPPLIES,CLEARED,Processed via auto-pay
TXN-10002,2026-04-01T10:05:00Z,$150.00,TRAVEL,CLEARED,Processed via auto-pay
TXN-10003,2026-04-01T10:10:00Z,$800.00,SOFTWARE,CLEARED,Processed via auto-pay
TXN-10004,2026-04-01T10:15:00Z,$120.00,MARKETING,CLEARED,Processed via auto-pay
TXN-10005,2026-04-01T10:20:00Z,$950.00,HARDWARE,CLEARED,Processed via auto-pay
TXN-10006,2026-04-01T10:25:00Z,$300.00,OFFICE_SUPPLIES,CLEARED,Processed via auto-pay
TXN-10007,2026-04-01T10:30:00Z,$200.00,MEALS,CLEARED,Processed via auto-pay
TXN-10008,2026-04-01T10:35:00Z,$50.00,SUBSCRIPTIONS,CLEARED,Processed via auto-pay
TXN-10009,2026-04-01T10:40:00Z,$1000.00,SERVICES,CLEARED,Processed via auto-pay
TXN-10010,2026-04-01T10:45:00Z,$450.00,LOGISTICS,CLEARED,Processed via auto-pay
