campaign_id,channel,spend,impressions,clicks,conversions,status
CAM-001,GOOGLE_ADS,$5000,250000,12500,350,COMPLETED
CAM-002,FACEBOOK_ADS,$3000,150000,8000,210,COMPLETED
CAM-003,LINKEDIN_SPONSORED,$4500,100000,5000,150,COMPLETED
CAM-004,EMAIL_NEWSLETTER,$500,50000,10000,450,COMPLETED
CAM-005,TWITTER_PROMO,$1000,80000,4000,120,COMPLETED
CAM-006,SEO_CONTENT,$2000,120000,9000,280,COMPLETED
CAM-007,YOUTUBE_PREROLL,$6000,300000,15000,400,COMPLETED
CAM-008,AFFILIATE_NETWORK,$1500,75000,3500,180,COMPLETED
CAM-009,INSTAGRAM_STORIES,$2500,180000,9500,310,COMPLETED
CAM-010,TIKTOK_ADS,$4000,400000,25000,650,COMPLETED
