ticket_id,customer_id,issue_category,priority,resolution_time,status
TKT-9901,CUST-551,LOGIN_ISSUE,HIGH,15m,RESOLVED
TKT-9902,CUST-552,BILLING,MEDIUM,45m,RESOLVED
TKT-9903,CUST-553,BUG_REPORT,LOW,120m,RESOLVED
TKT-9904,CUST-554,ACCOUNT_UPDATE,MEDIUM,30m,RESOLVED
TKT-9905,CUST-555,REFUND_REQUEST,HIGH,60m,RESOLVED
TKT-9906,CUST-556,LOGIN_ISSUE,HIGH,10m,RESOLVED
TKT-9907,CUST-557,FEATURE_REQUEST,LOW,150m,RESOLVED
TKT-9908,CUST-558,BILLING,MEDIUM,40m,RESOLVED
TKT-9909,CUST-559,CANCELLATION,HIGH,20m,RESOLVED
TKT-9910,CUST-560,LOGIN_ISSUE,HIGH,15m,RESOLVED
